City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nevers,46.9896,3.159,32.11,42,0,3.09,FR,1662997748
1,Jamestown,42.097,-79.2353,21.21,72,100,3.6,US,1662997495
2,Rikitea,-23.1203,-134.9692,22.44,71,99,1.8,PF,1662997749
3,Plácido de Castro,-10.3353,-67.1856,37.22,31,33,2.03,BR,1662997749
4,Busselton,-33.65,115.3333,15.59,89,88,9.92,AU,1662997750
5,Guánica,17.9716,-66.908,32.38,73,8,5.36,PR,1662997750
6,Manaure,11.7751,-72.4445,30.5,63,69,2.94,CO,1662997751
7,Bredasdorp,-34.5322,20.0403,13.25,61,43,4.98,ZA,1662997751
8,Hermanus,-34.4187,19.2345,14.89,65,34,2.41,ZA,1662997752
9,Saskylakh,71.9167,114.0833,0.8,86,83,3.16,RU,1662997753
10,Ushuaia,-54.8,-68.3,6.81,57,0,2.57,AR,1662997590
11,Sungai Raya,0.7,108.9,26.02,84,100,0.82,ID,1662997753
12,Aksu,41.1231,80.2644,27.14,14,97,2.25,CN,1662997602
13,Kapaa,22.0752,-159.319,22.99,90,75,0.0,US,1662997754
14,Marrakesh,31.6315,-8.0083,30.04,39,75,3.09,MA,1662997754
15,Saint-Philippe,-21.3585,55.7679,20.77,72,45,4.23,RE,1662997755
16,Mataura,-46.1927,168.8643,9.15,98,99,2.23,NZ,1662997755
17,Soe,-9.8607,124.284,17.11,90,39,2.18,ID,1662997655
18,Port Hardy,50.6996,-127.4199,12.1,100,100,0.0,CA,1662997756
19,Sembabule,-0.0772,31.4567,23.57,57,94,3.43,UG,1662997613
20,Port Alfred,-33.5906,26.891,15.1,72,8,2.68,ZA,1662997531
21,Nānākuli,21.3906,-158.1547,25.06,86,0,2.06,US,1662997757
22,Cherat Cantonement,33.8233,71.8915,23.96,65,16,0.91,PK,1662997758
23,Hsinchu,24.8036,120.9686,28.25,89,100,1.34,TW,1662997510
24,Atuona,-9.8,-139.0333,24.44,79,59,9.01,PF,1662997758
25,Vaini,-21.2,-175.2,20.09,100,20,1.54,TO,1662997758
26,Provideniya,64.3833,-173.3,7.94,90,100,3.41,RU,1662997759
27,Tasiilaq,65.6145,-37.6368,14.09,54,28,3.74,GL,1662997759
28,East London,-33.0153,27.9116,16.52,63,0,8.23,ZA,1662997759
29,Hobart,-42.8794,147.3294,5.7,80,100,2.06,AU,1662997729
30,Velikiy Ustyug,60.7644,46.3106,8.67,81,52,2.16,RU,1662997760
31,Lebu,-37.6167,-73.65,11.89,63,76,3.06,CL,1662997519
32,Albany,42.6001,-73.9662,21.88,88,100,0.38,US,1662997760
33,Qaanaaq,77.484,-69.3632,3.02,98,100,3.12,GL,1662997762
34,San Cristobal,7.7669,-72.225,25.1,39,25,2.11,VE,1662997762
35,Bluff,-46.6,168.3333,9.33,69,100,8.96,NZ,1662997763
36,Fortuna,40.5982,-124.1573,14.96,92,92,2.35,US,1662997763
37,Berdigestyakh,62.0989,126.6992,4.23,87,39,2.36,RU,1662997764
38,Fukuechō,32.6881,128.8419,26.4,87,98,5.83,JP,1662997764
39,Yuli,9.6989,10.2744,29.13,69,64,3.25,NG,1662997765
40,Torbay,47.6666,-52.7314,17.09,97,100,6.17,CA,1662997765
41,Canutama,-6.5339,-64.3831,40.21,27,27,0.76,BR,1662997766
42,Punta Arenas,-53.15,-70.9167,8.06,53,0,8.75,CL,1662997766
43,Ola,59.5833,151.2833,7.07,73,31,2.28,RU,1662997767
44,Barrow,71.2906,-156.7887,1.01,100,100,9.26,US,1662997768
45,Xinyu,27.8043,114.9334,23.34,60,0,1.1,CN,1662997768
46,Guano,-1.5833,-78.6333,14.2,63,20,2.57,EC,1662997769
47,Witu,-2.3889,40.4382,25.09,82,73,5.19,KE,1662997770
48,Tourlaville,49.6383,-1.5664,22.68,68,0,4.63,FR,1662997770
49,Flinders,-34.5833,150.8552,11.32,85,100,3.91,AU,1662997551
50,Upernavik,72.7868,-56.1549,4.74,97,100,1.1,GL,1662997771
51,Severnyy,50.677,36.5532,13.02,94,75,4.0,RU,1662997549
52,Buin,-33.7333,-70.75,18.02,49,1,1.89,CL,1662997772
53,Setermoen,68.861,18.3486,11.35,75,73,2.68,NO,1662997773
54,Saint Paul Harbor,57.79,-152.4072,11.73,87,100,6.69,US,1662997602
55,Dubai,25.2582,55.3047,33.16,70,66,3.6,AE,1662997685
56,Mossamedes,-15.1961,12.1522,18.71,82,45,4.97,AO,1662997774
57,Inírida,3.8653,-67.9239,24.61,96,97,1.0,CO,1662997774
58,Bow Island,49.8668,-111.3684,14.86,62,70,3.09,CA,1662997774
59,Ol'ga,43.7444,135.2892,16.2,93,40,1.68,RU,1662997775
60,Tibú,8.639,-72.7358,33.61,47,60,1.3,CO,1662997775
61,Puerto Ayora,-0.7393,-90.3518,20.98,91,100,1.79,EC,1662997775
62,Norman Wells,65.282,-126.8329,3.02,100,75,1.54,CA,1662997776
63,Soroti,1.7146,33.6111,23.58,68,97,2.32,UG,1662997540
64,Hofn,64.2539,-15.2082,11.01,87,75,3.09,IS,1662997777
65,Cayenne,4.9333,-52.3333,32.02,55,75,4.63,GF,1662997777
66,Hilo,19.7297,-155.09,22.93,73,0,3.09,US,1662997777
67,Coventry,52.4066,-1.5122,23.48,75,20,2.06,GB,1662997500
68,Bethel,41.3712,-73.414,22.51,83,100,0.0,US,1662997778
69,Ilulissat,69.2167,-51.1,8.01,87,100,3.6,GL,1662997779
70,Lagoa,39.05,-27.9833,21.89,78,59,4.99,PT,1662997779
71,Dikson,73.5069,80.5464,3.45,68,100,10.25,RU,1662997780
72,Luanda,-8.8368,13.2343,24.0,78,0,2.57,AO,1662997781
73,Pevek,69.7008,170.3133,2.05,93,48,2.5,RU,1662997781
74,Luang Prabang,19.8856,102.1347,22.79,99,99,0.37,LA,1662997782
75,Saquarema,-22.92,-42.5103,23.08,70,86,6.5,BR,1662997783
76,Carauari,-4.8828,-66.8958,37.13,36,39,0.58,BR,1662997615
77,Salina,38.8403,-97.6114,24.45,45,0,6.17,US,1662997784
78,Broome,42.2506,-75.833,21.78,93,89,0.45,US,1662997784
79,Port Lincoln,-34.7333,135.8667,11.59,82,5,5.93,AU,1662997785
80,Anadyr,64.75,177.4833,4.28,93,40,3.0,RU,1662997500
81,Christchurch,-43.5333,172.6333,8.84,87,42,2.06,NZ,1662997785
82,Esperance,-33.8667,121.9,17.91,75,60,4.95,AU,1662997785
83,Águilas,37.4063,-1.5829,30.45,53,81,2.67,ES,1662997786
84,Bytosh',53.8186,34.0912,8.88,91,100,4.01,RU,1662997787
85,Castro,-24.7911,-50.0119,16.82,85,100,2.47,BR,1662997701
86,Rieti,42.4072,12.8592,29.34,28,0,3.09,IT,1662997787
87,Port Moresby,-9.4431,147.1797,23.68,94,40,2.57,PG,1662997788
88,Yar-Sale,66.8333,70.8333,6.19,90,100,4.18,RU,1662997788
89,Dryden,49.7833,-92.7503,17.16,67,0,2.57,CA,1662997789
90,Thinadhoo,0.5333,72.9333,28.07,72,6,4.65,MV,1662997789
91,Cape Town,-33.9258,18.4232,16.26,53,0,6.69,ZA,1662997789
92,Pong,19.1493,100.2752,22.29,99,99,0.9,TH,1662997790
93,Leningradskiy,69.3833,178.4167,1.78,85,85,2.93,RU,1662997790
94,Narsaq,60.9167,-46.05,9.12,68,92,2.15,GL,1662997791
95,Bilibino,68.0546,166.4372,5.33,94,100,1.67,RU,1662997791
96,Kayerkan,69.3497,87.7602,1.96,100,97,3.25,RU,1662997792
97,Corn Island,12.1694,-83.0418,28.21,77,61,5.86,NI,1662997792
98,Kolda,12.8833,-14.95,27.24,88,97,2.51,SN,1662997792
99,Tiksi,71.6872,128.8694,0.87,80,44,2.38,RU,1662997793
100,Cabo San Lucas,22.8909,-109.9124,30.28,74,0,0.0,MX,1662997793
